playerID,yearID,teamID,round,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
whitedo01,1906,CHA,WS,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
archeji01,1907,DET,WS,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
brownmo01,1907,CHN,WS,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
chancfr01,1907,CHN,WS,4,13,3,2,1,0,0,0,3,0,4,2,0,1,0,0,0
cobbty01,1907,DET,WS,5,20,1,4,0,1,0,0,0,1,0,3,0,1,0,0,1
coughbi01,1907,DET,WS,5,20,0,5,0,0,0,0,1,0,1,4,0,0,0,0,0
crawfsa01,1907,DET,WS,5,21,1,5,1,0,0,3,0,0,0,3,0,0,0,0,0
donovbi01,1907,DET,WS,2,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
eversjo01,1907,CHN,WS,5,20,2,7,2,0,0,1,3,1,0,1,0,0,1,0,0
howarde01,1907,CHN,WS,2,5,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0
jonesda01,1907,DET,WS,5,17,1,6,0,0,0,0,3,1,4,0,0,0,1,0,0
killied01,1907,DET,WS,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
klingjo01,1907,CHN,WS,5,19,2,4,0,0,0,1,0,0,1,4,0,0,1,0,0
